Review_ID,Customer_Name,Product_Name,Review_Text,Date
1,Customer_1,TV,Product exceeded expectations.,2025-07-24
2,Customer_2,Backpack,"Packaging was decent, product works.",2025-05-27
3,Customer_3,Laptop,Highly recommended! Great service.,2025-10-15
4,Customer_4,Smartwatch,The size does not match the description.,2025-07-22
5,Customer_5,Laptop,"Packaging was decent, product works.",2025-07-21
6,Customer_6,Refrigerator,Good value for money.,2025-08-01
7,Customer_7,Microwave,The packaging and build quality are perfect.,2025-09-17
8,Customer_8,Shoes,Worth every penny! Excellent quality.,2025-09-24
9,Customer_9,Shoes,Amazing quality and fast delivery!,2025-09-04
10,Customer_10,Smartwatch,Performance is very slow and laggy.,2025-06-23
11,Customer_11,Camera,It’s okay for the price.,2025-06-29
12,Customer_12,Headphones,Very satisfied with the product performance.,2025-05-10
13,Customer_13,TV,Poor customer service and delay in delivery.,2025-06-12
14,Customer_14,Smartphone,Worth every penny! Excellent quality.,2025-09-19
15,Customer_15,Smartphone,Amazing quality and fast delivery!,2025-10-02
16,Customer_16,Backpack,Really happy with my purchase!,2025-09-25
17,Customer_17,Shoes,"Superb experience, will buy again.",2025-05-18
18,Customer_18,Shoes,Worth every penny! Excellent quality.,2025-05-26
19,Customer_19,Smartwatch,Product stopped working after a week.,2025-10-27
20,Customer_20,Headphones,Product exceeded expectations.,2025-05-03
21,Customer_21,Headphones,Very comfortable and stylish product.,2025-05-06
22,Customer_22,Microwave,Really happy with my purchase!,2025-09-14
23,Customer_23,Refrigerator,Average experience overall.,2025-08-22
24,Customer_24,Shoes,"Received on time, product is okay.",2025-05-30
25,Customer_25,Smartwatch,The size does not match the description.,2025-08-27
26,Customer_26,Microwave,"Superb experience, will buy again.",2025-08-06
27,Customer_27,Smartwatch,Received a damaged item.,2025-05-04
28,Customer_28,Camera,Product exceeded expectations.,2025-07-15
29,Customer_29,Backpack,Highly recommended! Great service.,2025-08-03
30,Customer_30,Shoes,Very satisfied with the product performance.,2025-10-18
